respondent_id,site_id,company_id,GPUR_1,GPUR_2,GPUR_3,GPUR_4,GOPS_1,GOPS_2,GOPS_3,GOPS_4,GLOG_1,GLOG_2,GLOG_3,GTRN_1,GTRN_2,GTRN_3,GCOL_1,GCOL_2,GCOL_3,SUPINT_1,SUPINT_2,SUPINT_3,MAINT_1,MAINT_2,MAINT_3,COMP_1,COMP_2,COMP_3,OE_1,OE_2,OE_3,OE_4,OE_5,EP_1,EP_2,EP_3,EP_4,EP_5
SYN_001_R1,SYN_001,SyntheticCo,4,3,4,4,3,3,4,4,4,3,4,5,4,5,4,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,5,3,3,3,4,4
SYN_001_R2,SYN_001,SyntheticCo,3,3,3,4,5,4,4,4,4,4,4,4,5,4,3,4,2,3,3,3,4,5,4,5,3,4,4,4,4,4,4,3,4,4,3,3
SYN_001_R3,SYN_001,SyntheticCo,3,4,4,4,4,4,4,4,4,3,4,4,4,5,3,3,4,4,4,3,4,4,3,4,4,4,4,3,4,5,4,4,3,4,3,3
SYN_001_R4,SYN_001,SyntheticCo,4,2,4,4,4,3,4,4,4,4,5,4,4,4,3,4,4,4,4,3,4,4,4,4,5,4,3,3,4,4,5,5,4,3,2,4
SYN_001_R5,SYN_001,SyntheticCo,3,3,3,3,5,4,4,3,3,3,4,5,4,5,3,3,3,3,5,3,5,4,5,5,4,4,3,4,4,3,3,4,5,4,4,4
SYN_002_R1,SYN_002,SyntheticCo,4,4,3,4,4,4,4,3,2,4,4,3,3,4,2,2,3,3,3,3,4,4,3,4,2,4,3,3,3,3,4,2,3,3,3,4
SYN_002_R2,SYN_002,SyntheticCo,4,4,3,3,3,4,4,3,3,3,5,4,3,3,2,3,3,4,3,3,2,3,3,3,3,4,2,2,5,3,3,4,5,2,3,3
SYN_002_R3,SYN_002,SyntheticCo,4,3,3,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,5,4,4,3,3,4,3,4,2,4,3,2,3,3,3
SYN_002_R4,SYN_002,SyntheticCo,3,3,3,3,4,2,3,4,3,3,2,3,4,2,4,3,3,3,3,4,4,4,4,4,5,4,4,3,3,3,4,2,4,3,4,4
SYN_002_R5,SYN_002,SyntheticCo,4,4,2,3,3,3,4,4,3,3,3,2,3,3,4,3,2,4,3,4,4,2,3,4,3,4,4,4,3,4,4,3,3,3,3,3
SYN_003_R1,SYN_003,SyntheticCo,4,4,5,3,4,5,3,3,4,5,4,4,4,4,4,5,4,3,5,4,4,4,3,3,3,3,4,4,4,3,2,4,3,4,4,4
SYN_003_R2,SYN_003,SyntheticCo,4,4,4,4,4,4,4,3,4,4,4,4,2,3,3,2,3,4,4,4,4,4,3,5,4,3,3,3,3,4,4,5,3,4,3,4
SYN_003_R3,SYN_003,SyntheticCo,4,3,5,4,3,3,3,4,4,4,4,4,3,3,4,4,5,4,4,4,5,5,4,4,4,3,4,4,4,3,3,2,3,3,4,5
SYN_003_R4,SYN_003,SyntheticCo,5,3,4,4,4,4,4,3,5,4,4,5,4,5,4,4,4,4,3,4,3,4,4,4,4,4,4,4,3,4,3,3,5,4,3,3
